value,date_time,valid,exp_id,group,qubits,parameter,schedule
6993370669.0,2021-10-01 22:59:56.670636+0530,True,,default,"(0,)",meas_lo_freq,
6993370669.0,2021-10-01 22:53:21.809910+0530,True,,default,"(0,)",meas_lo_freq,
4971598140.177314,2021-10-01 22:59:56.670596+0530,True,,default,"(0,)",qubit_lo_freq,
80.0,2021-10-01 22:59:56.671038+0530,True,,default,(),σ,sx
320,2021-10-01 22:59:56.671023+0530,True,,default,(),duration,sx
0.0,2021-10-01 22:59:56.671068+0530,True,,default,(),β,sx
80.0,2021-10-01 22:59:56.670990+0530,True,,default,(),σ,x
320,2021-10-01 22:59:56.670947+0530,True,,default,(),duration,x
0.25,2021-10-01 22:59:56.671053+0530,True,,default,(),amp,sx
0.5,2021-10-01 22:59:56.670972+0530,True,,default,(),amp,x
0.0,2021-10-01 22:59:56.671006+0530,True,,default,(),β,x
